Pressione, Can A, Raccolta #3
Tempo ( s )	Pressione ( kPa )
102,8000	1,87994
102,9000	1,87506
103,0000	1,87994
103,1000	1,87506
103,2000	1,87994
103,3000	1,87506
103,4000	1,87994
103,5000	1,87506
103,6000	1,87994
103,7000	1,87506
103,8000	1,87506
103,9000	1,87506
104,0000	1,87506
104,1000	1,87506
104,2000	1,87994
104,3000	1,87506
104,4000	1,87506
104,5000	1,87506
104,6000	1,87994
104,7000	1,87506
104,8000	1,87994
104,9000	1,87506
105,0000	1,87506
105,1000	1,87506
105,2000	1,87994
105,3000	1,87506
105,4000	1,87994
105,5000	1,87506
105,6000	1,87506
105,7000	1,87506
105,8000	1,87994
105,9000	1,87506
106,0000	1,87994
106,1000	1,87506
106,2000	1,87994
106,3000	1,87506
106,4000	1,87994
106,5000	1,87506
106,6000	1,87994
106,7000	1,87506
106,8000	1,87994
106,9000	1,87506
107,0000	1,87506
107,1000	1,87506
107,2000	1,87994
107,3000	1,87506
107,4000	1,87994
107,5000	1,87506
107,6000	1,87994
107,7000	1,87506
107,8000	1,87506
107,9000	1,87506
108,0000	1,87506
108,1000	1,87506
108,2000	1,87506
108,3000	1,87506
108,4000	1,87994
108,5000	1,87506
108,6000	1,87994
108,7000	1,87506
108,8000	1,87994
108,9000	1,87506
109,0000	1,87994
109,1000	1,87506
109,2000	1,87506
109,3000	1,87506
109,4000	1,87506
109,5000	1,87506
109,6000	1,87506
109,7000	1,87506
109,8000	1,87994
109,9000	1,87506
110,0000	1,87506
110,1000	1,87506
110,2000	1,87506
110,3000	1,87506
110,4000	1,87994
110,5000	1,87506
110,6000	1,87506
110,7000	1,87506
110,8000	1,87994
110,9000	1,87506
111,0000	1,87994
111,1000	1,87506
111,2000	1,87994
111,3000	1,87506
111,4000	1,87994
111,5000	1,87994
111,6000	1,87994
111,7000	1,87506
111,8000	1,87994
111,9000	1,87506
112,0000	1,87994
112,1000	1,87506
112,2000	1,87994
112,3000	1,87506
112,4000	1,87994
112,5000	1,87506
112,6000	1,87994
112,7000	1,87506
112,8000	1,87506
112,9000	1,87506
113,0000	1,87994
113,1000	1,87506
113,2000	1,87506
113,3000	1,87506
113,4000	1,87994
113,5000	1,87506
113,6000	1,87506
113,7000	1,87506
113,8000	1,87506
113,9000	1,87506
114,0000	1,87506
114,1000	1,87506
114,2000	1,87506
114,3000	1,87506
114,4000	1,87506
114,5000	1,87506
114,6000	1,87506
114,7000	1,87506
114,8000	1,87506
114,9000	1,87506
115,0000	1,87506
115,1000	1,87506
115,2000	1,87506
115,3000	1,87506
115,4000	1,87506
115,5000	1,87506
115,6000	1,87506
115,7000	1,87506
115,8000	1,87506
115,9000	1,87506
116,0000	1,87506
116,1000	1,87506
116,2000	1,87506
116,3000	1,87506
116,4000	1,87506
116,5000	1,87506
116,6000	1,87994
116,7000	1,95318
116,8000	2,16803
116,9000	2,38289
117,0000	2,68075
117,1000	2,94931
117,2000	3,20322
117,3000	3,21299
117,4000	3,20811
117,5000	3,20322
117,6000	3,19834
117,7000	3,18857
117,8000	3,18369
117,9000	3,16904
118,0000	3,16416
118,1000	3,15439
118,2000	3,14951
118,3000	3,13486
118,4000	3,12998
118,5000	3,12510
118,6000	3,12510
118,7000	3,10556
118,8000	3,11045
118,9000	3,10068
119,0000	3,09580
119,1000	3,09580
119,2000	3,09091
119,3000	3,08603
119,4000	3,08603
119,5000	3,07627
119,6000	3,07627
119,7000	3,06650
119,8000	3,06650
119,9000	3,06650
120,0000	3,06162
120,1000	3,05673
120,2000	3,05673
120,3000	3,05185
120,4000	3,04697
120,5000	3,04697
120,6000	3,03720
120,7000	3,03720
120,8000	3,03720
120,9000	3,03720
121,0000	3,03232
121,1000	3,02744
121,2000	3,02744
121,3000	3,02744
121,4000	3,02255
121,5000	3,01767
121,6000	3,01767
121,7000	3,01767
121,8000	3,01279
121,9000	3,01279
122,0000	3,00790
122,1000	3,00790
122,2000	3,00790
122,3000	3,00790
122,4000	3,00302
122,5000	2,99814
122,6000	2,99814
122,7000	2,99326
122,8000	2,99326
122,9000	2,98837
123,0000	2,99326
123,1000	2,98837
123,2000	2,98837
123,3000	2,98349
123,4000	2,98837
123,5000	2,97861
123,6000	2,98349
123,7000	2,97861
123,8000	2,97861
123,9000	2,97861
124,0000	2,97861
124,1000	2,97372
124,2000	2,97372
124,3000	2,96884
124,4000	2,96884
124,5000	2,96884
124,6000	2,97372
124,7000	2,96884
124,8000	2,96884
124,9000	2,96884
125,0000	2,96884
125,1000	2,96884
125,2000	2,95907
125,3000	2,95907
125,4000	2,96884
125,5000	2,95907
125,6000	2,95419
125,7000	2,95907
125,8000	2,95907
125,9000	2,95419
126,0000	2,95419
126,1000	2,94931
126,2000	2,95419
126,3000	2,94931
126,4000	2,94931
126,5000	2,94931
126,6000	2,94931
126,7000	2,94931
126,8000	2,94931
126,9000	2,94443
127,0000	2,94931
127,1000	2,94443
127,2000	2,94443
127,3000	2,94443
127,4000	2,94443
127,5000	2,93954
127,6000	2,94443
127,7000	2,93954
127,8000	2,94443
127,9000	2,93954
128,0000	2,93954
128,1000	2,93954
128,2000	2,93954
128,3000	2,93466
128,4000	2,93466
128,5000	2,93466
128,6000	2,93954
128,7000	2,93466
128,8000	2,93954
128,9000	2,93466
129,0000	2,93466
129,1000	2,93954
