Temperatura. Can B ( C )	Posizione. Can 1 e 2 ( m )
27.41032	4.37500E-4
27.36364	4.37500E-4
27.45703	4.37500E-4
27.31699	4.37500E-4
27.41032	4.37500E-4
27.36364	4.37500E-4
27.41032	4.37500E-4
27.36364	4.37500E-4
27.45703	4.37500E-4
27.31699	4.37500E-4
27.45703	5.00000E-4
27.41032	5.00000E-4
27.31699	5.00000E-4
27.36364	5.00000E-4
27.45703	5.00000E-4
27.36364	5.00000E-4
27.45703	5.00000E-4
27.36364	5.00000E-4
27.41032	5.00000E-4
27.36364	5.00000E-4
27.45703	5.00000E-4
27.31699	5.00000E-4
27.45703	5.00000E-4
27.36364	5.00000E-4
27.41032	5.00000E-4
27.36364	5.00000E-4
27.45703	5.00000E-4
27.41032	5.00000E-4
27.41032	5.00000E-4
27.36364	5.00000E-4
27.45703	5.00000E-4
27.31699	5.00000E-4
27.45703	5.00000E-4
27.36364	5.00000E-4
27.45703	5.00000E-4
27.45703	5.00000E-4
27.45703	5.00000E-4
27.41032	5.00000E-4
27.45703	5.00000E-4
27.41032	5.00000E-4
27.50376	5.00000E-4
27.36364	5.00000E-4
27.45703	5.00000E-4
27.36364	5.00000E-4
27.41032	5.00000E-4
27.36364	5.00000E-4
27.45703	5.00000E-4
27.36364	5.00000E-4
27.45703	5.00000E-4
27.41032	5.00000E-4
27.45703	5.00000E-4
27.41032	5.00000E-4
27.45703	5.00000E-4
27.41032	5.00000E-4
27.45703	5.00000E-4
27.36364	5.00000E-4
27.45703	5.00000E-4
27.31699	5.00000E-4
27.45703	5.00000E-4
27.41032	5.00000E-4
27.45703	5.00000E-4
27.36364	5.00000E-4
27.45703	5.00000E-4
27.41032	5.00000E-4
27.50376	5.00000E-4
27.36364	5.00000E-4
27.45703	5.00000E-4
27.41032	5.00000E-4
27.45703	5.00000E-4
27.41032	5.00000E-4
27.50376	5.00000E-4
27.41032	5.62500E-4
27.45703	5.62500E-4
27.45703	5.62500E-4
27.50376	5.62500E-4
27.41032	5.62500E-4
27.45703	5.62500E-4
27.45703	5.62500E-4
27.45703	5.62500E-4
27.41032	5.62500E-4
27.45703	5.62500E-4
27.45703	5.62500E-4
27.50376	5.62500E-4
27.36364	5.62500E-4
27.50376	5.62500E-4
27.41032	5.62500E-4
27.45703	5.62500E-4
27.45703	5.62500E-4
27.41032	5.62500E-4
27.41032	5.62500E-4
27.41032	5.62500E-4
27.41032	5.62500E-4
27.45703	5.62500E-4
27.45703	5.62500E-4
27.50376	5.62500E-4
27.45703	5.62500E-4
27.50376	5.62500E-4
27.41032	5.62500E-4
27.45703	5.62500E-4
27.45703	5.62500E-4
27.50376	5.62500E-4
27.41032	5.62500E-4
27.50376	5.62500E-4
27.41032	5.62500E-4
27.50376	5.62500E-4
27.45703	5.62500E-4
27.45703	5.62500E-4
27.45703	5.62500E-4
27.50376	5.62500E-4
27.41032	5.62500E-4
27.50376	5.62500E-4
27.41032	5.62500E-4
27.50376	5.62500E-4
27.45703	5.62500E-4
27.50376	5.62500E-4
27.45703	5.62500E-4
27.50376	5.62500E-4
27.45703	5.62500E-4
27.50376	5.62500E-4
27.45703	5.62500E-4
27.50376	5.62500E-4
27.45703	5.62500E-4
27.50376	5.62500E-4
27.45703	5.62500E-4
27.50376	5.62500E-4
27.45703	5.62500E-4
27.50376	6.25000E-4
27.45703	6.25000E-4
27.50376	6.25000E-4
27.45703	6.25000E-4
27.50376	6.25000E-4
27.41032	6.25000E-4
27.50376	6.25000E-4
27.45703	6.25000E-4
27.50376	6.25000E-4
27.45703	6.25000E-4
27.50376	6.25000E-4
