Temperatura, Can B, Raccolta #2
Tempo ( s )	Temperatura ( °C )
125,7000	36,54857
125,8000	36,43937
125,9000	36,49394
126,0000	36,43937
126,1000	36,54857
126,2000	36,43937
126,3000	36,49394
126,4000	36,33040
126,5000	36,43937
126,6000	36,33040
126,7000	36,43937
126,8000	36,33040
126,9000	36,38485
127,0000	36,33040
127,1000	36,33040
127,2000	36,33040
127,3000	36,33040
127,4000	36,33040
127,5000	36,33040
127,6000	36,33040
127,7000	36,33040
127,8000	36,33040
127,9000	36,33040
128,0000	36,22168
128,1000	36,27601
128,2000	36,22168
128,3000	36,27601
128,4000	36,22168
128,5000	36,27601
128,6000	36,22168
128,7000	36,22168
128,8000	36,11319
128,9000	36,22168
129,0000	36,11319
129,1000	36,22168
129,2000	36,16740
129,3000	36,11319
129,4000	36,11319
129,5000	36,11319
129,6000	36,11319
129,7000	36,11319
129,8000	36,11319
129,9000	36,11319
130,0000	36,00494
130,1000	36,11319
130,2000	36,00494
130,3000	36,05904
130,4000	36,00494
130,5000	36,11319
130,6000	36,00494
130,7000	36,00494
130,8000	35,89693
130,9000	36,05904
131,0000	35,89693
131,1000	36,00494
131,2000	35,89693
131,3000	36,00494
131,4000	35,89693
131,5000	36,00494
131,6000	35,89693
131,7000	35,89693
131,8000	35,89693
131,9000	35,89693
132,0000	35,89693
132,1000	35,89693
132,2000	35,89693
132,3000	35,89693
132,4000	35,89693
132,5000	35,89693
132,6000	35,78915
132,7000	35,89693
132,8000	35,78915
132,9000	35,84301
133,0000	35,78915
133,1000	35,84301
133,2000	35,78915
133,3000	35,84301
133,4000	35,78915
133,5000	35,78915
133,6000	35,73535
133,7000	35,78915
133,8000	35,68160
133,9000	35,73535
134,0000	35,68160
134,1000	35,68160
134,2000	35,68160
134,3000	35,68160
134,4000	35,68160
134,5000	35,68160
134,6000	35,68160
134,7000	35,68160
134,8000	35,68160
134,9000	35,62791
135,0000	35,57428
135,1000	35,62791
135,2000	35,68160
135,3000	35,68160
135,4000	35,57428
135,5000	35,68160
135,6000	35,57428
135,7000	35,57428
135,8000	35,57428
135,9000	35,57428
136,0000	35,57428
136,1000	35,57428
136,2000	35,46719
136,3000	35,52071
136,4000	35,46719
136,5000	35,46719
136,6000	35,46719
136,7000	35,57428
136,8000	35,46719
136,9000	35,52071
137,0000	35,46719
137,1000	35,46719
137,2000	35,41373
137,3000	35,46719
137,4000	35,36033
137,5000	35,46719
137,6000	35,41373
137,7000	35,46719
137,8000	35,36033
137,9000	35,41373
